"Formación política","Votos","% Votos","Escaños"
"PP - PARTIDO POPULAR","1.589.272","43,11","58"
"PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA","888.325","24,10","30"
"VOX - VOX","496.618","13,47","14"
"PorA - IZQUIERDA UNIDA ANDALUCÍA - MÁS PAÍS ANDALUCÍA - VERDES EQUO - INICIATIVA DEL PUEBLO ANDALUZ: POR ANDALUCÍA","284.027","7,70","5"
"ADELANTE ANDALUCÍA-ANDALUCISTAS - ADELANTE ANDALUCÍA-ANDALUCISTAS","168.960","4,58","2"
"Cs - CIUDADANOS-PARTIDO DE LA CIUDADANÍA""","121.567","3,30","0"
"PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL","35.199","0,95","0"
"JM+ - JAÉN MERECE MÁS","18.873","0,51","0"
"AL - ANDALUCES LEVANTAOS COALICIÓN","11.980","0,32","0"
"ESCAÑOS EN BLANCO - ESCAÑOS EN BLANCO","4.407","0,12","0"
"PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ","4.358","0,12","0"
"PUM+J - POR UN MUNDO MÁS JUSTO","3.418","0,09","0"
"XH - POR HUELVA","3.197","0,09","0"
"N.A. - NACIÓN ANDALUZA","2.839","0,08","0"
"PCTE - PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA","2.766","0,08","0"
"CRSxA - COALICIÓN REPUBLICANA SOCIALISTA POR ANDALUCÍA","2.371","0,06","0"
"PARTIDO AUTÓNOMOS - PARTIDO AUTÓNOMOS","2.180","0,06","0"
"RECORTES CERO - RECORTES CERO","1.940","0,05","0"
"LOS VERDES - LOS VERDES","1.457","0,04","0"
"FE de las JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.","1.404","0,04","0"
"JxG - JUNTOS POR GRANADA EL PARTIDO DEL GRANADEXIT","1.308","0,04","0"
"VOLT - VOLT ESPAÑA","923","0,03","0"
"RECORTES CERO-JV - RECORTES CERO-JAÉN VIVA!","414","0,01","0"
"JUFUDI - PARTIDO DE JUBILADOS POR EL FUTURO, DIGNIDAD Y DEMOCRACIA","348","0,01","0"
"SOMOS FUTURO - SOMOS FUERZA, UNIÓN","266","0,01","0"
"DESPIERTA - DESPIERTA. PARTIDO SOCIO-POLÍTICO CONSTITUCIONALISTA","261","0,01","0"
"RECORTES CERO - IZQP - RECORTES CERO-IZQUIERDA EN POSITIVO","257","0,01","0"
"IZAR - IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA","200","0,01","0"
"Federación BASTA YA! - BASTA YA!","163","0,00","0"
"RECORTES CERO-IPAL - RECORTES CERO-IZQUIERDA POR ALMERÍA","155","0,00","0"