Tipo convocatoria;Id convocatoria;ccaa;prv;circunscripcion;municipio;distrito;candidatura;votos;votos validos;votos censo;votos candidaturas;tipo de representante;representantes
4;202305;9;8;;19;;TRIAS PER BARCELONA-COMPROMÍS MUNICIPAL;149.479;22,45;13,48;22,68;Concejales;11
4;202305;9;8;;19;;PARTIT DELS SOCIALISTES DE CATALUNYA-BO PER BARCELONA-UNITS-CANDIDATURA DE PROGRÈS;131.923;19,82;11,89;20,02;Concejales;10
4;202305;9;8;;19;;BARCELONA EN COMÚ - CONFLUÈNCIA;131.581;19,76;11,86;19,97;Concejales;9
4;202305;9;8;;19;;ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUNICIPAL;74.804;11,24;6,74;11,35;Concejales;5
4;202305;9;8;;19;;PARTIDO POPULAR/PARTIT POPULAR;61.362;9,22;5,53;9,31;Concejales;4
4;202305;9;8;;19;;VOX;37.990;5,71;3,43;5,77;Concejales;2
4;202305;9;8;;19;;CUP-L'ALTERNATIVA-ALTERNATIVA MUNICIPALISTA;25.213;3,79;2,27;3,83;Concejales;0
4;202305;9;8;;19;;VALENTS;15.407;2,31;1,39;2,34;Concejales;0
4;202305;9;8;;19;;CIUTADANS-PARTIDO DE LA CIUDADANÍA (CS);7.234;1,09;0,65;1,1;Concejales;0
4;202305;9;8;;19;;BARCELONA ETS TU;7.196;1,08;0,65;1,09;Concejales;0
4;202305;9;8;;19;;PARTIT ANIMALISTA AMB EL MEDI AMBIENT;7.151;1,07;0,64;1,09;Concejales;0
4;202305;9;8;;19;;ELS VERDS-ALTERNATIVA VERDA;2.258;0,34;0,2;0,34;Concejales;0
4;202305;9;8;;19;;ESCONS EN BLANC PER DEIXAR ESCONS BUITS/ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS;1.703;0,26;0,15;0,26;Concejales;0
4;202305;9;8;;19;;NOVA POLÍTICA PRIMÀRIES;1.421;0,21;0,13;0,22;Concejales;0
4;202305;9;8;;19;;PARTIDO CANNÁBICO LUZ VERDE;933;0,14;0,08;0,14;Concejales;0
4;202305;9;8;;19;;FRONT NACIONAL DE CATALUNYA;923;0,14;0,08;0,14;Concejales;0
4;202305;9;8;;19;;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;730;0,11;0,07;0,11;Concejales;0
4;202305;9;8;;19;;ALIANZA DE LA IZQUIERDA REPUBLICANA DE ESPAÑA;368;0,06;0,03;0,06;Concejales;0
4;202305;9;8;;19;;PARTIT HUMANISTA;313;0,05;0,03;0,05;Concejales;0
4;202305;9;8;;19;;FAMÍLIA I VIDA;296;0,04;0,03;0,04;Concejales;0
4;202305;9;8;;19;;UNIDOS POR LA SOLIDARIDAD INTERNACIONAL;229;0,03;0,02;0,03;Concejales;0
4;202305;9;8;;19;;SOM IDENTITARIS;200;0,03;0,02;0,03;Concejales;0
4;202305;9;8;;19;;JUSTICIA I UNIÓ;153;0,02;0,01;0,02;Concejales;0
4;202305;9;8;;19;;PARTIT DEL TREBALL-DEMOCRÀCIA EFECTIVA-REPÚBLICA VALENCIANA;91;0,01;0,01;0,01;Concejales;0